,(FKP (fucokinase)).kcat_F,(FKP (fucokinase)).Km_Fuc,(FKP (fucokinase)).Km_ATP,(FKP (fucokinase)).Km_Fuc1P,(FKP (fucokinase)).Km_ADP,(FKP (guanylyltransferase)).kcat_F,(FKP (guanylyltransferase)).Km_Fuc1P,(FKP (guanylyltransferase)).Km_GTP,(FKP (guanylyltransferase)).Km_GDP_Fuc,(FKP (guanylyltransferase)).Km_PP,(FKP (guanylyltransferase)).ki_PP,(PPA).kcat_F,(PPA).Km_PP,(GMPK).kcat_F,(GMPK).Km_GMP,(GMPK).Km_ATP,(GMPK).Km_GDP,(GMPK).Km_ADP,(PPK3_G).kcat_F,(PPK3_G).Km_GDP,(PPK3_G).Km_GTP,(PPK3_G).K_eq_PPK3_G,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_ATP,(PPK3_A).K_eq_PPK3_A,obj_val
0,59473.6548115869,0.905384769634626,18.944239201941,0.019202847556093,0.641829918258363,273081.188230919,4.14569666365489,253.37565787188,0.075071084049625,3.97581725023641,9.28E-07,921301.539767227,1.65E-05,578737.672477021,0.036440642409298,2.9467752134332,31.2881607242093,4.8976791740405,75576.4925029534,2.94481991158217,1.39671829327962,1.70587868657412,169976.58987421,2.14985852618436,0.058256980690797,0.940391876547154,91.3705054642579
0,79.6511205782936,0.023830081125113,0.148615248401736,163.280845057576,57.9639019106483,67178.4666942401,0.00608109832207,192.427493339018,11.5839822053374,6.06896795009668,2.71E-08,637087.46932835,0.002553463359651,561850.367689673,1.05881443586179,1.53439540511754,4.32205350274713,8.18249934935057,33540.9981275046,2.33564149433926,252.486273357288,1.65848981460844,22232.70074914,3.56161141092154,8.04312316393564,0.828198918556658,118.442112234471
0,6551.11015301952,0.041712641467998,14.8482359558721,72.6091525896255,12.8915707275616,32150.0201663342,4.96765898114322,129.345844426487,0.136980044662827,2.09183821600904,8.61E-08,726991.436830564,1.15E-06,926982.923873209,0.440818893540113,0.067178200940481,6.33492230473483,1.76482535520044,117791.313628785,1.77798931801067,0.256913978405202,1.78264581385478,46577.6420032404,4.09415647270177,1.29376261792881,0.910433917411096,91.2562098725642
0,10015.0421198957,0.216738942100138,80.2154120519549,85.2056932781982,0.014175065774932,79696.4833753382,0.146458559399753,10.7686933186356,158.913667687293,3.28079223584227,2.06E-08,367672.632602183,0.000564880237371,687408.526575143,1.59546351574914,0.533888666813525,1.47393734199905,2.16747847203632,83627.0436346207,5.15262323593823,361.441751920764,1.67979275920835,164771.111477112,5.6048253389631,0.121001273206583,0.927344536935347,108.330707406384
0,4602.83262053859,0.247539684893512,94.9035488614339,324.658493356906,0.085401893152692,107092.014921755,0.000146686615881,71.4242186457137,734.574354425099,11.893341486763,2.27E-07,588015.238075147,0.089760435209231,587170.306108984,0.793594649703717,0.267428734619687,3.21566775848771,1.79366453502922,131696.30101516,2.70476946175847,0.306071805261259,1.72849622243738,98015.4711761547,3.27373952875546,0.135910707539582,0.939080644854396,110.735862065496
0,1558.43354610917,0.20291795444934,2.34684302979518,3.30686281579192,1.26708736555594,17936.2326486179,11.9450591994578,8.98711584405287,0.042313601803369,0.024638422297017,1.59E-08,741363.937727585,1.33E-06,803294.429392537,1.40108770929548,0.636056009527358,15.6531257828459,5.45923014290545,22406.4095946141,0.427592947094996,1079.84134309649,1.68617377355697,52048.6681197125,8.58135582707139,9.45852715367635,0.896614950110061,92.9837447435031
0,5745.28442208163,0.08558570808911,4.75381506895702,22.8264102954261,1.99390478992827,58021.5080829249,5.82619557059924,59.7650910032263,0.037723939202344,17.0545340925687,4.28E-07,848620.023753458,0.000866917368662,754075.54063963,3.80021638930259,0.973659314092981,6.86594294523165,12.9530083250922,24052.761420822,0.317720744863469,228.461106729797,1.64551359609291,50406.6401893695,4.29067340268972,2.37517023636488,0.862168894420833,97.2453187707803
0,418.950001882204,0.060913834544362,10.5356605627214,756.636359401489,11.2698579908651,27178.1447643183,0.141739370083249,62.0633208957028,0.170959111809554,3.77022298998207,1.27E-08,451186.523996114,0.000130003172021,744885.033444323,0.257758206824696,1.77681698095815,0.965428189292197,0.859963062488555,31051.625539249,1.11798547173421,2.64500678083331,1.66296351799023,28287.8098083029,3.02236017146587,0.852470943997168,0.897396666353468,117.190052497359
0,2582.3638012557,0.046635317799462,4.88307621277439,37.7599822795125,10.5354633418048,44357.1387995139,41.5025360942957,47.0368634995694,0.310062914666203,0.79396941837901,2.43E-07,683612.374541983,1.52E-06,575712.099109669,1.03594442512685,0.028608714171715,0.128291294256472,13.2534494360342,39914.9249919088,2.05374864851294,101.329865184803,1.67572427860086,83635.4722355988,5.28923711153736,0.604097216341335,0.920769923410673,91.3762869368943
0,230.327283030933,0.029995115539548,4.97023975268749,0.034719630600862,0.208165953507879,342570.945409873,0.002517725671591,675.701475142465,31.7525699486612,5.99518031993766,2.21E-08,248322.856669047,0.001218709835492,193213.445288117,0.1989128292084,0.03752518850788,44.4511607716884,2.30912284493352,131069.545189735,0.173580612175229,0.017647851802893,1.7702839655599,280880.591574061,1.96803030474098,0.026291686891521,0.915443867717681,113.776294341993
0,120.338196440617,0.01684245600175,1.11568020034966,33.9255982595553,259.018018579039,187733.388943936,0.313822811920194,76.0782115529284,0.060123294704298,1.5001717380256,3.09E-08,65731.0839054766,3.69E-05,284049.831885548,0.236393287658097,1.74309469925537,2.70987417264631,19.7571590819639,103433.730263493,2.75021554593727,8.09492987125885,1.64481288453521,67927.6864279121,5.78560284805726,0.370972451416642,0.946905258584308,115.123807501176
